FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg404093tg51226,CUEDC1-COPZ2,CUEDC1,404093,COPZ2,51226
hg404093tg124535,CUEDC1-HSF5,CUEDC1,404093,HSF5,124535
hg8454tg8454,CUL1-CUL1,CUL1,8454,CUL1,8454
hg8453tg56288,CUL2-PARD3,CUL2,8453,PARD3,56288
hg8452tg130340,CUL3-AP1S3,CUL3,8452,AP1S3,130340
hg8452tg1615,CUL3-DARS,CUL3,8452,DARS,1615
hg8452tg79582,CUL3-SPAG16,CUL3,8452,SPAG16,79582
hg8451tg8451,CUL4A-CUL4A,CUL4A,8451,CUL4A,8451
hg8451tg10521,CUL4A-DDX17,CUL4A,8451,DDX17,10521
hg8451tg2155,CUL4A-F7,CUL4A,8451,F7,2155
hg8451tg55795,CUL4A-PCID2,CUL4A,8451,PCID2,55795
hg8451tg7027,CUL4A-TFDP1,CUL4A,8451,TFDP1,7027
hg8451tg55002,CUL4A-TMCO3,CUL4A,8451,TMCO3,55002
hg8451tg348013,CUL4A-TMEM255B,CUL4A,8451,TMEM255B,348013
hg8450tg23604,CUL4B-DAPK2,CUL4B,8450,DAPK2,23604
hg8450tg56006,CUL4B-SMG9,CUL4B,8450,SMG9,56006
hg8450tg23214,CUL4B-XPO6,CUL4B,8450,XPO6,23214
hg8065tg472,CUL5-ATM,CUL5,8065,ATM,472
hg8065tg55531,CUL5-ELMOD1,CUL5,8065,ELMOD1,55531
hg8065tg54734,CUL5-RAB39A,CUL5,8065,RAB39A,54734
hg23113tg221458,CUL9-KIF6,CUL9,23113,KIF6,221458
hg51596tg2914,CUTA-GRM4,CUTA,51596,GRM4,2914
hg1523tg23382,CUX1-AHCYL2,CUX1,1523,AHCYL2,23382
hg1523tg27241,CUX1-BBS9,CUX1,1523,BBS9,27241
hg1523tg673,CUX1-BRAF,CUX1,1523,BRAF,673
hg1523tg1607,CUX1-DGKB,CUX1,1523,DGKB,1607
hg1523tg254102,CUX1-EHBP1L1,CUX1,1523,EHBP1L1,254102
hg1523tg162333,CUX1-MARCH10,CUX1,1523,MARCH10,162333
hg1523tg5979,CUX1-RET,CUX1,1523,RET,5979
hg1523tg221981,CUX1-THSD7A,CUX1,1523,THSD7A,221981
hg1523tg55689,CUX1-YEATS2,CUX1,1523,YEATS2,55689
hg54883tg388381,CWC25-C17orf98,CWC25,54883,C17orf98,388381
hg54883tg162427,CWC25-FAM134C,CWC25,54883,FAM134C,162427
hg54883tg494188,CWC25-FBXO47,CWC25,54883,FBXO47,494188
hg54883tg3927,CWC25-LASP1,CWC25,54883,LASP1,3927
hg54883tg57125,CWC25-PLXDC1,CWC25,54883,PLXDC1,57125
hg54883tg10237,CWC25-SLC35B1,CWC25,54883,SLC35B1,10237
hg80157tg54940,CWH43-OCIAD1,CWH43,80157,OCIAD1,54940
hg1525tg351,CXADR-APP,CXADR,1525,APP,351
hg1525tg27146,CXADR-FAM184B,CXADR,1525,FAM184B,27146
hg2919tg174,CXCL1-AFP,CXCL1,2919,AFP,174
hg58191tg83659,CXCL16-TEKT1,CXCL16,58191,TEKT1,83659
hg284340tg56915,CXCL17-EXOSC5,CXCL17,284340,EXOSC5,56915
hg7852tg3494,CXCR4-IGHA2,CXCR4,7852,IGHA2,3494
hg256643tg30011,CXorf23-SH3KBP1,CXorf23,256643,SH3KBP1,30011
hg79742tg51652,CXorf36-CHMP3,CXorf36,79742,CHMP3,51652
hg159013tg10449,CXorf38-ACAA2,CXorf38,159013,ACAA2,10449
hg91966tg6696,CXorf40A-SPP1,CXorf40A,91966,SPP1,6696
hg1534tg8878,CYB561-SQSTM1,CYB561,1534,SQSTM1,8878
hg1534tg7494,CYB561-XBP1,CYB561,1534,XBP1,7494
hg80777tg6645,CYB5B-SNTB2,CYB5B,80777,SNTB2,6645
hg124936tg51479,CYB5D2-ANKFY1,CYB5D2,124936,ANKFY1,51479
hg51167tg84624,CYB5R4-FNDC1,CYB5R4,51167,FNDC1,84624
hg1537tg2243,CYC1-FGA,CYC1,1537,FGA,2243
hg23191tg31,CYFIP1-ACACA,CYFIP1,23191,ACACA,31
hg23191tg23359,CYFIP1-FAM189A1,CYFIP1,23191,FAM189A1,23359
hg1540tg3029,CYLD-HAGH,CYLD,1540,HAGH,3029
hg1586tg302,CYP17A1-ANXA2,CYP17A1,1586,ANXA2,302
hg1586tg55656,CYP17A1-INTS8,CYP17A1,1586,INTS8,55656
hg57404tg10152,CYP20A1-ABI2,CYP20A1,57404,ABI2,10152
hg1593tg1593,CYP27A1-CYP27A1,CYP27A1,1593,CYP27A1,1593
hg1593tg27148,CYP27A1-STK36,CYP27A1,1593,STK36,27148
hg1562tg3070,CYP2C18-HELLS,CYP2C18,1562,HELLS,3070
hg1571tg23600,CYP2E1-AMACR,CYP2E1,1571,AMACR,23600
hg1571tg79058,CYP2E1-ASPSCR1,CYP2E1,1571,ASPSCR1,79058
hg1571tg10841,CYP2E1-FTCD,CYP2E1,1571,FTCD,10841
hg1571tg2752,CYP2E1-GLUL,CYP2E1,1571,GLUL,2752
hg1571tg10529,CYP2E1-NEBL,CYP2E1,1571,NEBL,10529
hg1571tg5068,CYP2E1-REG3A,CYP2E1,1571,REG3A,5068
hg29785tg5976,CYP2S1-UPF1,CYP2S1,29785,UPF1,5976
hg1576tg3685,CYP3A4-ITGAV,CYP3A4,1576,ITGAV,3685
hg1579tg4051,CYP4A11-CYP4F3,CYP4A11,1579,CYP4F3,4051
hg1580tg5319,CYP4B1-PLA2G1B,CYP4B1,1580,PLA2G1B,5319
hg57834tg117286,CYP4F11-CIB3,CYP4F11,57834,CIB3,117286
hg66002tg4650,CYP4F12-MYO9B,CYP4F12,66002,MYO9B,4650
hg4051tg5763,CYP4F3-PTMS,CYP4F3,4051,PTMS,5763
hg260293tg51727,CYP4X1-CMPK1,CYP4X1,260293,CMPK1,51727
hg1595tg55971,CYP51A1-BAIAP2L1,CYP51A1,1595,BAIAP2L1,55971
hg1595tg889,CYP51A1-KRIT1,CYP51A1,1595,KRIT1,889
hg9420tg2060,CYP7B1-EPS15,CYP7B1,9420,EPS15,2060
hg9420tg57466,CYP7B1-SCAF4,CYP7B1,9420,SCAF4,57466
hg84418tg143098,CYSTM1-MPP7,CYSTM1,84418,MPP7,143098
hg9267tg1523,CYTH1-CUX1,CYTH1,9267,CUX1,1523
hg9267tg3603,CYTH1-IL16,CYTH1,9267,IL16,3603
hg9267tg3959,CYTH1-LGALS3BP,CYTH1,9267,LGALS3BP,3959
hg9267tg28992,CYTH1-MACROD1,CYTH1,9267,MACROD1,28992
hg9267tg10801,CYTH1-SEPT9,CYTH1,9267,SEPT9,10801
hg9265tg221955,CYTH3-DAGLB,CYTH3,9265,DAGLB,221955
hg9265tg8379,CYTH3-MAD1L1,CYTH3,9265,MAD1L1,8379
hg9265tg132671,CYTH3-SPATA18,CYTH3,9265,SPATA18,132671
hg9265tg84132,CYTH3-USP42,CYTH3,9265,USP42,84132
hg116159tg351,CYYR1-APP,CYYR1,116159,APP,351
hg23002tg60314,DAAM1-C12orf10,DAAM1,23002,C12orf10,60314
hg23002tg23002,DAAM1-DAAM1,DAAM1,23002,DAAM1,23002
hg23002tg10492,DAAM1-SYNCRIP,DAAM1,23002,SYNCRIP,10492
hg1600tg9528,DAB1-TMEM59,DAB1,1600,TMEM59,9528
hg1601tg411,DAB2-ARSB,DAB2,1601,ARSB,411
hg153090tg6310,DAB2IP-ATXN1,DAB2IP,153090,ATXN1,6310
hg153090tg4297,DAB2IP-KMT2A,DAB2IP,153090,KMT2A,4297
hg153090tg80736,DAB2IP-SLC44A4,DAB2IP,153090,SLC44A4,80736
hg153090tg7052,DAB2IP-TGM2,DAB2IP,153090,TGM2,7052
hg1602tg11278,DACH1-KLF12,DACH1,1602,KLF12,11278
hg1603tg84932,DAD1-RAB2B,DAD1,1603,RAB2B,84932
hg747tg341116,DAGLA-MS4A10,DAGLA,747,MS4A10,341116
hg199699tg4782,DAND5-NFIC,DAND5,199699,NFIC,4782
hg1611tg22948,DAP-CCT5,DAP,1611,CCT5,22948
hg1611tg9037,DAP-SEMA5A,DAP,1611,SEMA5A,9037
hg1611tg51429,DAP-SNX9,DAP,1611,SNX9,51429
hg7818tg261726,DAP3-TIPRL,DAP3,7818,TIPRL,261726
hg1612tg2906,DAPK1-GRIN2D,DAPK1,1612,GRIN2D,2906
hg23604tg84191,DAPK2-FAM96A,DAPK2,23604,FAM96A,84191
hg23604tg5607,DAPK2-MAP2K5,DAPK2,23604,MAP2K5,5607
hg27071tg1285,DAPP1-COL4A3,DAPP1,27071,COL4A3,1285
hg27071tg8671,DAPP1-SLC4A4,DAPP1,27071,SLC4A4,8671
hg1615tg23518,DARS-R3HDM1,DARS,1615,R3HDM1,23518
hg26528tg55009,DAZAP1-C19orf24,DAZAP1,26528,C19orf24,55009
hg26528tg23526,DAZAP1-HMHA1,DAZAP1,26528,HMHA1,23526
hg26528tg4209,DAZAP1-MEF2D,DAZAP1,26528,MEF2D,4209
hg26528tg374291,DAZAP1-NDUFS7,DAZAP1,26528,NDUFS7,374291
hg1621tg6447,DBH-SCG5,DBH,1621,SCG5,6447
hg1627tg23567,DBN1-ZNF346,DBN1,1627,ZNF346,23567
hg79007tg1397,DBNDD1-CRIP2,DBNDD1,79007,CRIP2,1397
hg1628tg770,DBP-CA11,DBP,1628,CA11,770
hg25879tg1666,DCAF13-DECR1,DCAF13,25879,DECR1,1666
hg90379tg65005,DCAF15-MRPL9,DCAF15,90379,MRPL9,65005
hg8816tg283417,DCAF5-DPY19L2,DCAF5,8816,DPY19L2,283417
hg8816tg5890,DCAF5-RAD51B,DCAF5,8816,RAD51B,5890
hg8816tg51109,DCAF5-RDH11,DCAF5,8816,RDH11,51109
hg8816tg6729,DCAF5-SRP54,DCAF5,8816,SRP54,6729
hg55827tg387597,DCAF6-ILDR2,DCAF6,55827,ILDR2,387597
hg55827tg3954,DCAF6-LETM1,DCAF6,55827,LETM1,3954
hg55827tg9019,DCAF6-MPZL1,DCAF6,55827,MPZL1,9019
hg55827tg5087,DCAF6-PBX1,DCAF6,55827,PBX1,5087
hg10238tg81671,DCAF7-VMP1,DCAF7,10238,VMP1,81671
hg50717tg911,DCAF8-CD1C,DCAF8,50717,CD1C,911
hg79877tg10882,DCAKD-C1QL1,DCAKD,79877,C1QL1,10882
hg285761tg10576,DCBLD1-CCT2,DCBLD1,285761,CCT2,10576
hg285761tg254394,DCBLD1-MCM9,DCBLD1,285761,MCM9,254394
hg285761tg116150,DCBLD1-NUS1,DCBLD1,285761,NUS1,116150
hg131566tg56954,DCBLD2-NIT2,DCBLD2,131566,NIT2,56954
hg54798tg2266,DCHS2-FGG,DCHS2,54798,FGG,2266
hg54798tg5356,DCHS2-PLRG1,DCHS2,54798,PLRG1,5356
hg1633tg2926,DCK-GRSF1,DCK,1633,GRSF1,2926
hg9201tg55213,DCLK1-RCBTB1,DCLK1,9201,RCBTB1,55213
hg166614tg987,DCLK2-LRBA,DCLK2,166614,LRBA,987
hg64421tg221061,DCLRE1C-FAM171A1,DCLRE1C,64421,FAM171A1,221061
hg64421tg9397,DCLRE1C-NMT2,DCLRE1C,64421,NMT2,9397
hg1634tg7431,DCN-VIM,DCN,1634,VIM,7431
hg167227tg7905,DCP2-REEP5,DCP2,167227,REEP5,7905
hg167227tg6902,DCP2-TBCA,DCP2,167227,TBCA,6902
hg28960tg595,DCPS-CCND1,DCPS,28960,CCND1,595
hg1639tg238,DCTN1-ALK,DCTN1,1639,ALK,238
hg1639tg56904,DCTN1-SH3GLB2,DCTN1,1639,SH3GLB2,56904
hg10540tg9416,DCTN2-DDX23,DCTN2,10540,DDX23,9416
hg10540tg6857,DCTN2-SYT1,DCTN2,10540,SYT1,6857
hg11258tg55705,DCTN3-IPO9,DCTN3,11258,IPO9,55705
hg11258tg158038,DCTN3-LINGO2,DCTN3,11258,LINGO2,158038
hg54165tg152137,DCUN1D1-CCDC50,DCUN1D1,54165,CCDC50,152137
hg54165tg6580,DCUN1D1-SLC22A1,DCUN1D1,54165,SLC22A1,6580
hg55208tg1325,DCUN1D2-CORT,DCUN1D2,55208,CORT,1325
hg55208tg4931,DCUN1D2-NVL,DCUN1D2,55208,NVL,4931
hg55208tg5770,DCUN1D2-PTPN1,DCUN1D2,55208,PTPN1,5770
hg55208tg7027,DCUN1D2-TFDP1,DCUN1D2,55208,TFDP1,7027
hg55208tg55002,DCUN1D2-TMCO3,DCUN1D2,55208,TMCO3,55002
hg55208tg65110,DCUN1D2-UPF3A,DCUN1D2,55208,UPF3A,65110
hg23142tg2824,DCUN1D4-GPM6B,DCUN1D4,23142,GPM6B,2824
hg23142tg64854,DCUN1D4-USP46,DCUN1D4,23142,USP46,64854
hg1641tg139135,DCX-PASD1,DCX,1641,PASD1,139135
hg51181tg51547,DCXR-SIRT7,DCXR,51181,SIRT7,51547
hg79016tg4650,DDA1-MYO9B,DDA1,79016,MYO9B,4650
hg79016tg79041,DDA1-TMEM38A,DDA1,79016,TMEM38A,79041
hg23576tg388630,DDAH1-TRABD2B,DDAH1,23576,TRABD2B,388630
hg1642tg79869,DDB1-CPSF7,DDB1,1642,CPSF7,79869
hg1642tg26007,DDB1-DAK,DDB1,1642,DAK,26007
hg1642tg6389,DDB1-SDHA,DDB1,1642,SDHA,6389
hg23259tg84513,DDHD2-PPAPDC1B,DDHD2,23259,PPAPDC1B,84513
hg84301tg23341,DDI2-DNAJC16,DDI2,84301,DNAJC16,23341
hg780tg100526740,DDR1-ATP5J2-PTCD1,DDR1,780,ATP5J2-PTCD1,100526740
hg780tg780,DDR1-DDR1,DDR1,780,DDR1,780
hg780tg28973,DDR1-MRPS18B,DDR1,780,MRPS18B,28973
hg780tg5058,DDR1-PAK1,DDR1,780,PAK1,5058
hg65992tg5879,DDRGK1-RAC1,DDRGK1,65992,RAC1,5879
hg1652tg55,DDT-ACPP,DDT,1652,ACPP,55
hg1652tg8209,DDT-C21orf33,DDT,1652,C21orf33,8209
hg1652tg51738,DDT-GHRL,DDT,1652,GHRL,51738
hg1652tg2952,DDT-GSTT1,DDT,1652,GSTT1,2952
hg1652tg5058,DDT-PAK1,DDT,1652,PAK1,5058
hg1652tg6396,DDT-SEC13,DDT,1652,SEC13,6396
hg100037417tg55,DDTL-ACPP,DDTL,100037417,ACPP,55
hg100037417tg8209,DDTL-C21orf33,DDTL,100037417,C21orf33,8209
hg100037417tg2952,DDTL-GSTT1,DDTL,100037417,GSTT1,2952
hg100037417tg6396,DDTL-SEC13,DDTL,100037417,SEC13,6396
hg1653tg200844,DDX1-C3orf67,DDX1,1653,C3orf67,200844
hg1662tg23746,DDX10-AIPL1,DDX10,1662,AIPL1,23746
hg1662tg406,DDX10-ARNTL,DDX10,1662,ARNTL,406
hg1662tg472,DDX10-ATM,DDX10,1662,ATM,472
hg1662tg4928,DDX10-NUP98,DDX10,1662,NUP98,4928
hg10521tg80755,DDX17-AARSD1,DDX17,10521,AARSD1,80755
hg10521tg1008,DDX17-CDH10,DDX17,10521,CDH10,1008
hg10521tg1375,DDX17-CPT1B,DDX17,10521,CPT1B,1375
hg10521tg150350,DDX17-ENTHD1,DDX17,10521,ENTHD1,150350
hg10521tg2192,DDX17-FBLN1,DDX17,10521,FBLN1,2192
hg11269tg146212,DDX19B-KCTD19,DDX19B,11269,KCTD19,146212
hg11218tg6913,DDX20-TBX15,DDX20,11218,TBX15,6913
hg9188tg84707,DDX21-BEX2,DDX21,9188,BEX2,84707
hg9188tg51596,DDX21-CUTA,DDX21,9188,CUTA,51596
hg9188tg9188,DDX21-DDX21,DDX21,9188,DDX21,9188
hg55661tg5792,DDX27-PTPRF,DDX27,55661,PTPRF,5792
hg10212tg84658,DDX39A-EMR3,DDX39A,10212,EMR3,84658
hg7919tg10665,DDX39B-C6orf10,DDX39B,7919,C6orf10,10665
hg7919tg4240,DDX39B-MFGE8,DDX39B,7919,MFGE8,4240
hg7919tg5961,DDX39B-PRPH2,DDX39B,7919,PRPH2,5961
hg1654tg3860,DDX3X-KRT13,DDX3X,1654,KRT13,3860
hg51428tg4155,DDX41-MBP,DDX41,51428,MBP,4155
hg11325tg83990,DDX42-BRIP1,DDX42,11325,BRIP1,83990
hg11325tg57003,DDX42-CCDC47,DDX42,11325,CCDC47,57003
hg11325tg6198,DDX42-RPS6KB1,DDX42,11325,RPS6KB1,6198
hg9879tg819,DDX46-CAMLG,DDX46,9879,CAMLG,819
hg54555tg54475,DDX49-NLE1,DDX49,54555,NLE1,54475
hg1655tg527,DDX5-ATP6V0C,DDX5,1655,ATP6V0C,527
hg1655tg2118,DDX5-ETV4,DDX5,1655,ETV4,2118
hg1655tg5214,DDX5-PFKP,DDX5,1655,PFKP,5214
hg1655tg5579,DDX5-PRKCB,DDX5,1655,PRKCB,5579
hg1655tg8631,DDX5-SKAP1,DDX5,1655,SKAP1,8631
hg1655tg7249,DDX5-TSC2,DDX5,1655,TSC2,7249
hg79009tg219736,DDX50-STOX1,DDX50,79009,STOX1,219736
hg11056tg23,DDX52-ABCF1,DDX52,11056,ABCF1,23
hg11056tg22806,DDX52-IKZF3,DDX52,11056,IKZF3,22806
hg11056tg51642,DDX52-MRPL48,DDX52,11056,MRPL48,51642
hg11056tg5709,DDX52-PSMD3,DDX52,11056,PSMD3,5709
hg11056tg6777,DDX52-STAT5B,DDX52,11056,STAT5B,6777
hg11056tg388364,DDX52-TMIGD1,DDX52,11056,TMIGD1,388364
hg57696tg55697,DDX55-VAC14,DDX55,57696,VAC14,55697
hg23586tg23081,DDX58-KDM4C,DDX58,23586,KDM4C,23081
hg23586tg5646,DDX58-PRSS3,DDX58,23586,PRSS3,5646
hg23586tg256536,DDX58-TCERG1L,DDX58,23586,TCERG1L,256536
hg83479tg10390,DDX59-CEPT1,DDX59,83479,CEPT1,10390
